scheme_code,scheme_name,category,fund_start_date,fund_age_years,return_3m_pct,return_1y_pct,cagr_3y_pct,cagr_5y_pct,sharpe_ratio,fund_house
124174,DSP Banking & PSU Debt Fund - Regular Plan - IDCW,Equity - Banking,04/01/21,4.99,1.18,-0.72,1.08,-1.11,-1.05,DSP MF
124173,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,Equity - Banking,04/01/21,4.99,-0.05,0.27,0.08,0.05,-7.62,DSP MF
124180,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,Equity - Banking,04/01/21,4.99,0,0.79,0.6,0.29,-3.9,DSP MF
124181,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly ,Equity - Banking,04/01/21,4.99,0.19,1.72,0.79,0.43,-1.89,DSP MF
124179,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,Equity - Banking,04/01/21,4.99,-0.15,0.16,0.06,0.02,-7.23,DSP MF
140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,Equity - Banking,04/01/21,4.99,1.3,7.73,7.63,6.12,0.03,Edelweiss MF
140288,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,Equity - Banking,04/01/21,4.99,-0.3,1.08,0.87,-0.2,-1.61,Edelweiss MF
140291,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,Equity - Banking,04/01/21,4.99,-0.12,-0.5,-0.23,-1.27,-3.43,Edelweiss MF
140293,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,Equity - Banking,04/01/21,4.99,-0.03,-0.08,-0.04,-0.77,-3.65,Edelweiss MF
140290,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,Equity - Banking,04/01/21,4.99,-0.03,0.08,-0.02,-0.26,-2.84,Edelweiss MF
140283,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,Equity - Banking,04/01/21,4.99,1.22,7.4,7.3,5.79,-0.09,Edelweiss MF
140284,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,Equity - Banking,04/01/21,4.99,-0.45,0.48,0.29,-0.73,-1.72,Edelweiss MF
140294,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,Equity - Banking,04/01/21,4.99,-0.14,-0.57,-0.46,-1.48,-3.53,Edelweiss MF
140292,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,Equity - Banking,04/01/21,4.99,-0.02,-0.05,-0.03,-0.34,-3.19,Edelweiss MF
140289,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,Equity - Banking,04/01/21,4.99,-0.05,0.07,-0.03,-0.66,-3,Edelweiss MF
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,Equity - Banking,04/01/21,4.99,1.7,8.22,7.82,6.2,0.12,Franklin Templeton MF
129006,Franklin India Banking & PSU Debt Fund - Growth,Equity - Banking,04/01/21,4.99,1.62,7.86,7.47,5.84,-0.15,Franklin Templeton MF
129009,Franklin India Banking and PSU Debt Fund - Direct - IDCW ,Equity - Banking,04/01/21,4.99,0.16,2.23,2.4,0.54,-2.01,Franklin Templeton MF
129007,Franklin India Banking and PSU Debt Fund - IDCW ,Equity - Banking,04/01/21,4.99,0.14,2.12,2.12,0.15,-2.12,Franklin Templeton MF
128628,HDFC Banking and PSU Debt Fund - Growth Option,Equity - Banking,04/01/21,4.99,1.38,7.42,7.35,5.78,-0.19,HDFC MF
128629,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,Equity - Banking,04/01/21,4.99,1.48,7.83,7.78,6.21,0.13,HDFC MF
128627,HDFC Banking and PSU Debt Fund - IDCW Option,Equity - Banking,04/01/21,4.99,-0.77,-0.12,-0.04,-0.35,-6.18,HDFC MF
128626,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,Equity - Banking,04/01/21,4.99,-0.07,-0.15,-0.05,-0.1,-8.04,HDFC MF
